ID_BB_UNIQUE,U3_COMPANY_NUMBER,Company_name,ticker,INDUSTRY_SECTOR_NUM,INDUSTRY_SECTOR,INDUSTRY_GROUP_NUM,INDUSTRY_GROUP,INDUSTRY_SUBGROUP_NUM,INDUSTRY_SUBGROUP
EQ0011426900001000,1415,Nice Corp,8089 JP,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111211,Retail - Discretionary
EQ0011427000001000,1416,Nichia Steel Works Ltd,5658 JP,17,Industrials,1710,Industrial Products,171015,Industrial Intermediate Prod
EQ0011427700001000,1422,Azel Corp,1872 JP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111012,Home Construction
EQ0011430000001000,1445,Nihon Parkerizing Co Ltd,4095 JP,18,Materials,1810,Materials,181010,Chemicals
EQ0011430100001000,1446,Nihon Seikan K K,5905 JP,18,Materials,1810,Materials,181012,Containers & Packaging
EQ0011431600001000,1460,Nikkiso Co Ltd,6376 JP,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0011442400001000,1566,Nissan Chemical Corp,4021 JP,18,Materials,1810,Materials,181010,Chemicals
EQ0011447800001000,1620,Obayashi Corp,1802 JP,17,Industrials,1711,Industrial Services,171113,Engineering & Construction
EQ0011452600001000,1667,ORIX Corp,8591 JP,14,Financials,1410,Banking,141010,Banking
EQ0011457600001000,1716,Rinko Corp,9355 JP,17,Industrials,1711,Industrial Services,171112,Transportation & Logistics
EQ0011458500001000,1725,Royal Hotel Ltd/The,9713 JP,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0010546000001000,30802,MPTV Inc,MPTT US,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0010552500001000,30847,MTS Medication Technologies Inc,9876470Q US,16,Health Care,1610,Health Care,161012,Medical Equipment & Devices
EQ0010557700001000,126693,Maxserv Inc,2296018Q US,17,Industrials,1711,Industrial Services,171111,Commercial Support Services
EQ0010564700001000,30927,Nordson Corp,NDSN US,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0010567300001000,30945,CreditRiskMonitor.com Inc,CRMZ US,19,Technology,1911,Software & Tech Services,191111,Technology Services
EQ0010573700001000,30980,Vivax Medical Inc,VVAX US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010574500001000,30985,Regent Energy Corp,RGEY US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010575400001002,126710,Nichols Research Corp,24288Z US,17,Industrials,1710,Industrial Products,171011,Aerospace & Defense
EQ0010575500001000,30992,Nutri Bevco Inc,NRGDQ US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010579200001000,31018,Tectonic Network Inc,TNWKQ US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010582600002000,31038,New York Times Co/The,NYT US,10,Communications,1010,Media,101013,Publishing & Broadcasting
EQ0010585300001000,31057,OFG Bancorp,OFG US,14,Financials,1410,Banking,141010,Banking
EQ0010589500001000,31086,Oneita Industries Inc,ONTAQ US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010590800001000,31097,Opto Mechanik Inc,OPMHQ US,17,Industrials,1710,Industrial Products,171011,Aerospace & Defense
EQ0010592200001000,126847,OrNda Healthcorp,3219Q US,16,Health Care,1610,Health Care,161011,Health Care Facilities & Svcs
EQ0010597400001000,31136,National Offshore LP,PNOIQ US,13,Energy,1310,Oil & Gas,131010,Oil & Gas Producers
EQ0010598100001000,31139,Paradise Inc,PARF US,12,Consumer Staples,1210,Consumer Staple Products,121010,Food
EQ0010601700001000,126790,PCI Services Inc,2887Q US,18,Materials,1810,Materials,181012,Containers & Packaging
EQ0010603500003000,31180,Presidential Realty Corp,PDNLB US,15,Real Estate,1510,Real Estate,151011,REIT
EQ0010605600001000,31194,Personal Diagnostics Inc,PERS US,14,Financials,1411,Financial Services,141110,Asset Management
EQ0010606400001000,31200,Pioneer Federal Bancorp Inc,534633Q US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010608600001000,31215,Greate Bay Casino Corp,GEAA US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010610500001000,31226,Apache Group Inc,APCH US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010612400001000,31240,Vidikron Technologies Group Inc,0888816D US,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0010612700001000,31243,Poughkeepsie Financial Corp,PKPS US,14,Financials,1410,Banking,141010,Banking
EQ0010614000001000,31253,YTB International Inc,YTBLQ US,10,Communications,1010,Media,101014,Internet Media & Services
EQ0010624900001000,31320,Perfumania Holdings Inc,PERFQ US,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111211,Retail - Discretionary
EQ0010636100001000,31379,Yuma Energy Inc,YUMAQ US,13,Energy,1310,Oil & Gas,131010,Oil & Gas Producers
EQ0010639400001000,31403,Quixote Corp,QUIX US,11,Consumer Discretionary,1110,Consumer Discretionary Products,111011,Automotive
EQ0010646300001000,126195,Receptech Corp,RECPC US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010646400001000,31448,RED Lion Inns -LP,169214Q US,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0010647000001000,31452,Regeneron Pharmaceuticals Inc,REGN US,16,Health Care,1610,Health Care,161010,Biotech & Pharma
EQ0011455700001000,1697,PS Construction Co Ltd,1871 JP,17,Industrials,1711,Industrial Services,171113,Engineering & Construction
EQ0011456300001000,1703,Look Holdings Inc,8029 JP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111010,Apparel & Textile Products
EQ0011458100001000,1721,Rohto Pharmaceutical Co Ltd,4527 JP,12,Consumer Staples,1210,Consumer Staple Products,121013,Household Products
EQ0011465100001000,1791,Sasaki Glass Co,5211 JP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111013,Home & Office Products
EQ0011467500001000,1815,Secaicho Corp,5143 JP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111010,Apparel & Textile Products
EQ0011469900001000,1838,Shimachu Co Ltd,8184 JP,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111211,Retail - Discretionary
EQ0011473100001000,1869,Shinobu Foods Products Co Ltd,2903 JP,12,Consumer Staples,1210,Consumer Staple Products,121010,Food
EQ0011475100001000,1889,Showa Aircraft Industry Co Ltd,7404 JP,17,Industrials,1710,Industrial Products,171014,Transportation Equipment
EQ0011478900001000,1925,SSP Co Ltd,4537 JP,16,Health Care,1610,Health Care,161010,Biotech & Pharma
EQ0011479100001000,1927,Star Micronics Co Ltd,7718 JP,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0011482100001000,1956,Sumitomo Trust & Banking Co Ltd/The,8403 JP,14,Financials,1410,Banking,141010,Banking
EQ0011484100001000,1976,Tachikawa Corp,7989 JP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111013,Home & Office Products
EQ0011484500001000,1980,Nippon Steel & Sumikin Texeng Co Ltd,1819 JP,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0011489500001000,26937,Tatsumura Gumi,1859 JP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111012,Home Construction
EQ0011492800001000,2060,Tohpe Corp,4614 JP,18,Materials,1810,Materials,181010,Chemicals
EQ0011495800001000,2089,Tohoku Electric Power Co Inc,9506 JP,20,Utilities,2010,Utilities,201010,Electric Utilities
EQ0011500700001000,2138,Tokai Tokyo Financial Holdings Inc,8616 JP,14,Financials,1410,Banking,141010,Banking
EQ0011508300001000,2214,Toyo Construction Co Ltd,1890 JP,17,Industrials,1711,Industrial Services,171113,Engineering & Construction
EQ0011516200001000,2290,Yagi Antenna,6805 JP,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0011519100001000,2319,Yokogawa Electric Corp,6841 JP,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0011520300001000,2331,Yotai Refractories Co Ltd,5357 JP,18,Materials,1810,Materials,181011,Construction Materials
EQ0011520700001000,2335,Yuken Kogyo Co Ltd,6393 JP,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0011527300001000,61244,Cegid Group SA,CGD FP,19,Technology,1911,Software & Tech Services,191110,Software
EQ0011531500001000,61260,CNIM Groupe SA,COM FP,13,Energy,1311,Renewable Energy,131110,Renewable Energy
EQ0011533100001000,82876,Dexia France,44131Q FP,14,Financials,1410,Banking,141010,Banking
EQ0011535200001000,82887,Ecia Equip & Composasnts,47130Q FP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111011,Automotive
EQ0011546900001000,61352,Peugeot SA,UG FP,11,Consumer Discretionary,1110,Consumer Discretionary Products,111011,Automotive
EQ0011551900001000,61379,Safran SA,SAF FP,17,Industrials,1710,Industrial Products,171011,Aerospace & Defense
EQ0011553900001000,61390,Sucriere de Pithiviers-Le-Vieil,SPV FP,12,Consumer Staples,1210,Consumer Staple Products,121011,Beverages
EQ0015227300001000,6608,Khator Fibre & Fabrics Ltd,KHTF IN,11,Consumer Discretionary,1110,Consumer Discretionary Products,111010,Apparel & Textile Products
EQ0015230000001000,6633,Kutch Salt & Allied Industries Ltd,KSA IN,NULL,NULL,NULL,NULL,NULL,NULL
EQ0015231000001000,6643,Kavini Ispat Ltd,KVI IN,17,Industrials,1710,Industrial Products,171015,Industrial Intermediate Prod
EQ0015233400001000,6666,Madhur Industries Ltd,MIL IN,12,Consumer Staples,1210,Consumer Staple Products,121010,Food
EQ0015236800001000,6692,Maruti Organics Ltd,MORG IN,18,Materials,1810,Materials,181010,Chemicals
EQ0015243800001000,6749,Nuchem Ltd,NUC IN,18,Materials,1810,Materials,181010,Chemicals
EQ0015244700001000,6757,EIH Associated Hotels,OAH IN,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0015245100001000,6761,Ojas Technochem Products,OJS IN,18,NULL,NULL,NULL,NULL,NULL
EQ0015246200001000,6772,One Global Service Provider Ltd,ONEGLOBA IN,16,Health Care,1610,Health Care,161011,Health Care Facilities & Svcs
EQ0015249100001000,6799,Shristi Infrastructure Development Corp Ltd,SIDCL IN,15,Real Estate,1510,Real Estate,151010,Real Estate Owners & Developers
EQ0015249600001000,6803,Prime Industries Ltd,PMP IN,18,Materials,1810,Materials,181013,"Forestry, Paper & Wood Products"
EQ0015257600001000,6870,Rasandik Engineering Industries India Ltd,RSDE IN,11,Consumer Discretionary,1110,Consumer Discretionary Products,111011,Automotive
EQ0015260700001000,6897,Sulabh Engineers & Services Ltd,SES IN,14,Financials,1410,Banking,141010,Banking
EQ0015263200001000,6920,ACI Infocom Ltd,SJDP IN,15,Real Estate,1510,Real Estate,151010,Real Estate Owners & Developers
EQ0015265800001000,6942,Sterling Kalk Sand Bricks Ltd,SLKS IN,18,Materials,1810,Materials,181011,Construction Materials
EQ0015268300001000,6963,Spearhead Metals & Alloys,SPHM IN,18,NULL,NULL,NULL,NULL,NULL
EQ0015270100001000,6978,K-Lifestyle & Industries Ltd,KLIL IN,11,Consumer Discretionary,1110,Consumer Discretionary Products,111010,Apparel & Textile Products
EQ0015271900001000,6995,Swarnsarita Jewels India Ltd,SWARNSAR IN,11,Consumer Discretionary,1110,Consumer Discretionary Products,111010,Apparel & Textile Products
EQ0015276700001000,7040,Thana Electric Supply Co,TESC IN,17,Industrials,1710,Industrial Products,171012,Electrical Equipment
EQ0015277700001000,7050,Megh Mayur Infra Ltd,MEGHM IN,NULL,NULL,NULL,NULL,NULL,NULL
EQ0015282600001000,7093,Vijaya Leasing Ltd,VLSG IN,14,NULL,NULL,NULL,NULL,NULL
EQ0015283800001000,7105,Vision Cinemas Ltd,VICL IN,10,Communications,1010,Media,101012,Entertainment Content
EQ0015284700001000,7113,Western Fruits & Vegetable,WFV IN,16,NULL,NULL,NULL,NULL,NULL
EQ0015288700001000,7140,Elegant Floriculture & Agrotech India Ltd,RYFA IN,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111210,Wholesale - Discretionary
EQ0015289700001000,7149,Earnest Healthcare Ltd,EHC IN,16,Health Care,1610,Health Care,161010,Biotech & Pharma
EQ0015294700001000,7190,KMC Speciality Hospitals India Ltd,KMCS IN,16,Health Care,1610,Health Care,161011,Health Care Facilities & Svcs
EQ0015303300001000,7254,PET Plastics Ltd,PET IN,NULL,NULL,NULL,NULL,NULL,NULL
EQ0015306200001000,7275,Mehar Dairy Industries,TMP IN,12,Consumer Staples,1210,Consumer Staple Products,121010,Food
EQ0015306500001000,7278,UG Hotels & Resorts Ltd,UGH IN,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0015313400001000,7311,Cedar Woods Properties Ltd,CWP AU,15,Real Estate,1510,Real Estate,151010,Real Estate Owners & Developers
EQ0011666000001000,61611,Arab Banking Corp BSC,ABC BI,14,Financials,1410,Banking,141010,Banking
EQ0011671400001000,33196,Navidea Biopharmaceuticals Inc,NAVB US,16,Health Care,1610,Health Care,161010,Biotech & Pharma
EQ0011684700001000,50534,Noron Tech Ltd,NTD CN,NULL,NULL,NULL,NULL,NULL,NULL
EQ0011684800001000,50535,Century Lithium Corp,LCE CN,NULL,NULL,NULL,NULL,NULL,NULL
EQ0011686000001000,33232,Antex Biologics Inc,ANXB US,16,Health Care,1610,Health Care,161010,Biotech & Pharma
EQ0011686500001000,33237,DynTek Inc,DYNE US,19,Technology,1911,Software & Tech Services,191111,Technology Services
EQ0011690300001000,33259,Champion Industries Inc/WV,CHMP US,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0011691400001000,33266,Winter Sports Inc,WSPS US,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0011692100001000,33271,Molten Metal Technology Inc,MLTNQ US,17,Industrials,1711,Industrial Services,171111,Commercial Support Services
EQ0011698500001000,125709,Concord Health Group Inc,CHGR US,16,Health Care,1610,Health Care,161011,Health Care Facilities & Svcs
EQ0011704500001000,33346,Equity LifeStyle Properties Inc,ELS US,15,Real Estate,1510,Real Estate,151011,REIT
EQ0011711700001000,33401,Jarden Corp,JAH US,12,Consumer Staples,1210,Consumer Staple Products,121013,Household Products
EQ0011715000001000,33436,OPTi Inc,OPTI US,19,Technology,1910,Tech Hardware & Semiconductors,191011,Semiconductors
EQ0011723200001000,2773,Asia Hotel PCL,ASIA TB,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0011723300001000,2774,Asia Motors,0428 KS,17,Industrials,1710,Industrial Products,171014,Transportation Equipment
EQ0011725700001000,2782,KTL Technologies Ltd,KTL AU,18,Materials,1810,Materials,181010,Chemicals
EQ0011727700001000,2790,Bank Danamon Indonesia Tbk PT,BDMN IJ,14,Financials,1410,Banking,141010,Banking
EQ0011730900001000,33488,Network Six Inc,NWSS US,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0011732200001000,83013,Geodis,GEO FP,17,Industrials,1711,Industrial Services,171112,Transportation & Logistics
EQ0011735600001000,2819,Chien Tai Cement Co Ltd,1107 TT,15,Real Estate,1510,Real Estate,151010,Real Estate Owners & Developers
EQ0011741000001000,61751,Daetwyler Holding AG,DAE SW,17,Industrials,1710,Industrial Products,171015,Industrial Intermediate Prod
EQ0011749200001000,2869,Far Eastern New Century Corp,1402 TT,11,Consumer Discretionary,1110,Consumer Discretionary Products,111010,Apparel & Textile Products
EQ0011756200003000,89355,Grupo Continental SAB de CV,CONTAL* MM,12,Consumer Staples,1210,Consumer Staple Products,121011,Beverages
EQ0011764500001000,2938,ICC International PCL,ICC TB,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111210,Wholesale - Discretionary
EQ0011767300001000,61839,Kardex Holding AG,KARN SW,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0011767500001000,87258,Kaufhalle AG,KHA GR,15,Real Estate,1510,Real Estate,151010,Real Estate Owners & Developers
EQ0011768600001000,82304,Readymix Kies-Union AG,KIES AV,18,Materials,1810,Materials,181011,Construction Materials
EQ0011768800001000,2962,Kisan Corp,1147 KS,17,Industrials,1711,Industrial Services,171113,Engineering & Construction
EQ0011771800001000,2984,Kuo Yang Construction Co Ltd,2505 TT,11,Consumer Discretionary,1110,Consumer Discretionary Products,111012,Home Construction
EQ0011700600001000,2748,ADI Corp,2304 TT,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0011701200002000,61669,Ageas SA/NV,AGS BB,14,Financials,1412,Insurance,141210,Insurance
EQ0011703000001000,33337,Pacific Sunwear of California Inc,PSUNQ US,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111211,Retail - Discretionary
EQ0011709400001000,33382,Reliv International Inc,RELV US,12,Consumer Staples,1210,Consumer Staple Products,121010,Food
EQ0011711200001000,33395,Chico's FAS Inc,CHS US,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111211,Retail - Discretionary
EQ0011718500001000,89344,Buenos Aires Embotelladora SA,BAES AR,12,Consumer Staples,1210,Consumer Staple Products,121011,Beverages
EQ0011718700001000,126594,CTL Credit Inc,1993Q US,14,Financials,1410,Banking,141010,Banking
EQ0011720700001000,87230,Altana AG,ALT GR,18,Materials,1810,Materials,181010,Chemicals
EQ0011721400001000,2765,Ambassador Hotel/The,2704 TT,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0011721600001000,61710,Amer Sports Oyj,AMEAS FH,11,Consumer Discretionary,1110,Consumer Discretionary Products,111014,Leisure Products
EQ0011722200001000,2769,Samsung Fire & Marine Insurance Co Ltd,000810 KS,14,Financials,1412,Insurance,141210,Insurance
EQ0011725800001000,2783,Bakrie and Brothers Tbk PT,BNBR IJ,18,Materials,1810,Materials,181014,Steel
EQ0011733400001000,83017,Unimed Cementerie del Mediterraneo,UNM IM,18,Materials,1810,Materials,181011,Construction Materials
EQ0011734800001000,2812,Charoen Pokphand Foods PCL,CPF TB,12,Consumer Staples,1210,Consumer Staple Products,121010,Food
EQ0011736200001000,2825,International CSRC Investment Holdings Co,2104 TT,18,Materials,1810,Materials,181010,Chemicals
EQ0011736600001000,2829,Chung Shing Textile Co,1408 TT,11,Consumer Discretionary,1110,Consumer Discretionary Products,111010,Apparel & Textile Products
EQ0011736900001000,83021,Ciga SpA,CI IM,11,Consumer Discretionary,1111,Consumer Discretionary Services,111111,Leisure Facilities & Services
EQ0011739700001000,61748,Airopack Technology Group AG,AIRN SW,17,Industrials,1710,Industrial Products,171013,Machinery
EQ0011742000001000,2850,Dankos Laboratories Tbk PT,DNKS IJ,16,Health Care,1610,Health Care,161010,Biotech & Pharma
EQ0011745300001000,61762,Draegerwerk AG & Co KGaA,DRW8 GR,16,Health Care,1610,Health Care,161012,Medical Equipment & Devices
EQ0011750400001000,2877,First Steamship Co Ltd,2601 TT,11,Consumer Discretionary,1112,Retail & Whsle - Discretionary,111211,Retail - Discretionary
EQ0011751900001000,2883,Gajah Tunggal Tbk PT,GJTL IJ,11,Consumer Discretionary,1110,Consumer Discretionary Products,111011,Automotive
EQ0011756900001000,2900,GSS Array Technology,GSS TB,17,Industrials,1710,Industrial Products,171012,Electrical Equipment
EQ0011758400001000,2911,Eusu Holdings Co Ltd,000700 KS,17,Industrials,1711,Industrial Services,171112,Transportation & Logistics
EQ0011778100001000,61877,Indesit Co SpA,IND IM,11,Consumer Discretionary,1110,Consumer Discretionary Products,111013,Home & Office Products
EQ0011778700001000,3016,Microelectronics Technology Inc,2314 TT,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0011784700001000,3047,ChainQui Construction Development Co Ltd,2509 TT,15,Real Estate,1510,Real Estate,151010,Real Estate Owners & Developers
EQ0011788200001000,3064,QAF Ltd,QAF SP,12,Consumer Staples,1210,Consumer Staple Products,121010,Food
EQ0010771800001000,32254,Valley National Bancorp,VLY US,14,Financials,1410,Banking,141010,Banking
EQ0010772100001000,126363,Mountaintop Corp,VODK US,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010779500001000,32306,Wayne Bancorp Inc/OH,WNNB US,14,Financials,1410,Banking,141010,Banking
EQ0010782200001000,32326,Bay Networks Inc,69895Q US,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0010782900001000,32332,Wegener Corp,WGNR US,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0010798200001000,32443,Gatefield Corp,GATE US,19,Technology,1910,Tech Hardware & Semiconductors,191010,Technology Hardware
EQ0010850700001000,48441,Axion Communications Inc,AXN CN,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010852400001000,48454,Orbus Pharma Inc,ORB/H CN,16,Health Care,1610,Health Care,161010,Biotech & Pharma
EQ0010866600001000,48555,PetroReal Energy Inc,PNI CN,NULL,NULL,NULL,NULL,NULL,NULL
EQ0010867600001000,48563,Canbra Foods Ltd,0632004D CN,12,Consumer Staples,1211,Retail & Wholesale - Staples,121110,Wholesale - Consumer Staples
EQ0010873400001000,48602,CFCF Inc,3464259Q CN,10,Communications,1010,Media,101013,Publishing & Broadcasting
EQ0010875400002000,48617,CHC Helicopter Corp,FLY/A CN,17,Industrials,1711,Industrial Services,171112,Transportation & Logistics
